store_id,product_code,canonical_product_id,active,discovered_at
040336,22205,8b764edf11c8d07b,1,2025-10-31T14:34:02
040336,22130,895dd8604c8f8cf1,1,2025-10-31T14:34:02
040336,22706,ccd4f120a6471f17,1,2025-10-31T14:34:02
040336,22240,d2fe7385656c7b73,1,2025-10-31T14:34:02
040336,2065Main,ec22b927dbe1fce7,1,2025-10-31T14:34:02
040336,23551,c172479e9c06aba7,1,2025-10-31T14:34:02
040336,28183,d95deaea191d0d41,1,2025-10-31T14:34:02
040336,28095,b2e40e63cc64ed0b,1,2025-10-31T14:34:02
040336,22110,235d26d3405a473b,1,2025-10-31T14:34:02
040336,22100,c611b6551e17e7f6,1,2025-10-31T14:34:02
040336,22813,13d28848e281d917,1,2025-10-31T14:34:02
040336,22850,ac083a30eec7c29f,1,2025-10-31T14:34:02
040336,22283,3bde3fa8aa956905,1,2025-10-31T14:34:02
040336,22321,05eb223cc7fc3dee,1,2025-10-31T14:34:02
040336,22259,32e8c2cecbb43d07,1,2025-10-31T14:34:02
040336,22362,ee371cad3de90fa9,1,2025-10-31T14:34:02
040336,22167,56855ae500e12391,1,2025-10-31T14:34:02
040336,22502,82b546c98af8862e,1,2025-10-31T14:34:02
040336,22525,bf1787b41e980748,1,2025-10-31T14:34:02
040336,23472,344b47d17ba2a0a0,1,2025-10-31T14:34:02
040336,23470,30e232bc350c93d9,1,2025-10-31T14:34:02
040336,23471,5da20dea752c97a7,1,2025-10-31T14:34:02
040336,23477,58443dab85318e00,1,2025-10-31T14:34:02
040336,23473,5be021966983fd53,1,2025-10-31T14:34:02
040336,23478,a535a11beee560df,1,2025-10-31T14:34:02
040336,23479,62dbe360a232dc21,1,2025-10-31T14:34:02
040336,23480,863d7c475e671a00,1,2025-10-31T14:34:02
040336,23476,a359a75e4ca554fe,1,2025-10-31T14:34:02
040336,29071,8b7fc7c4bcb68ed8,1,2025-10-31T14:34:02
040336,29088,d9f6b2327d8166f9,1,2025-10-31T14:34:02
040336,29016,333174cb078841f7,1,2025-10-31T14:34:02
040336,29087,8b7b14032290cb47,1,2025-10-31T14:34:02
040336,29015,b4695c37f7d4112b,1,2025-10-31T14:34:02
040336,29089,b6deb5016decf7e7,1,2025-10-31T14:34:02
040336,29072,31698700c728d932,1,2025-10-31T14:34:02
040336,24966,9aa67802ea59a742,1,2025-10-31T14:34:02
040336,1504Main,a2cb87e31453e4ee,1,2025-10-31T14:34:02
040336,1496Main,8f05ae3b5a23fbd6,1,2025-10-31T14:34:02
040336,3782Main,45f35424d1fa3ea7,1,2025-10-31T14:34:02
